iteration,eps,f,t2_grape,t2_ideal,t2_ratio,alpha_grape,alpha_ideal
1,-5.00E-01,-5.00E-01,1.520e-04,1.631e-04,9.321e-01,3.057e+00,3.462e+00
2,-5.00E-01,-4.00E-01,2.537e-04,1.376e-04,1.843e+00,3.173e+00,3.262e+00
3,-5.00E-01,-3.00E-01,2.368e-04,1.223e-04,1.937e+00,3.039e+00,3.147e+00
4,-5.00E-01,-2.00E-01,1.817e-04,1.094e-04,1.661e+00,3.046e+00,3.062e+00
5,-5.00E-01,-1.00E-01,4.019e-04,1.193e-04,3.370e+00,3.140e+00,3.254e+00
6,-5.00E-01,0.000e+00,2.949e-04,4.511e-04,6.537e-01,3.254e+00,3.618e+00
7,-5.00E-01,1.000e-01,2.280e-04,1.193e-04,1.912e+00,3.439e+00,3.254e+00
8,-5.00E-01,2.000e-01,2.427e-04,1.094e-04,2.219e+00,3.117e+00,3.062e+00
9,-5.00E-01,3.000e-01,1.555e-04,1.223e-04,1.272e+00,3.085e+00,3.147e+00
10,-5.00E-01,4.000e-01,9.981e-05,1.376e-04,7.251e-01,2.945e+00,3.262e+00
11,-5.00E-01,5.000e-01,1.258e-04,1.631e-04,7.718e-01,3.406e+00,3.462e+00
12,-4.00E-01,-5.00E-01,2.019e-04,1.815e-04,1.112e+00,3.041e+00,3.482e+00
13,-4.00E-01,-4.00E-01,2.496e-04,1.630e-04,1.531e+00,3.204e+00,3.340e+00
14,-4.00E-01,-3.00E-01,4.083e-04,1.406e-04,2.904e+00,3.514e+00,3.175e+00
15,-4.00E-01,-2.00E-01,2.724e-04,1.236e-04,2.203e+00,3.054e+00,3.069e+00
16,-4.00E-01,-1.00E-01,6.273e-04,1.337e-04,4.694e+00,4.005e+00,3.236e+00
17,-4.00E-01,0.000e+00,3.502e-04,3.441e-04,1.018e+00,3.273e+00,3.405e+00
18,-4.00E-01,1.000e-01,3.430e-04,1.337e-04,2.566e+00,3.540e+00,3.236e+00
19,-4.00E-01,2.000e-01,4.324e-04,1.236e-04,3.498e+00,3.201e+00,3.069e+00
20,-4.00E-01,3.000e-01,2.293e-04,1.406e-04,1.631e+00,3.096e+00,3.175e+00
21,-4.00E-01,4.000e-01,1.445e-04,1.630e-04,8.863e-01,2.997e+00,3.340e+00
22,-4.00E-01,5.000e-01,1.992e-04,1.815e-04,1.098e+00,3.520e+00,3.482e+00
23,-3.00E-01,-5.00E-01,4.159e-04,1.926e-04,2.160e+00,3.156e+00,3.439e+00
24,-3.00E-01,-4.00E-01,3.350e-04,1.869e-04,1.793e+00,3.243e+00,3.371e+00
25,-3.00E-01,-3.00E-01,5.106e-04,1.664e-04,3.069e+00,3.658e+00,3.214e+00
26,-3.00E-01,-2.00E-01,4.635e-04,1.453e-04,3.190e+00,3.136e+00,3.072e+00
27,-3.00E-01,-1.00E-01,8.665e-04,1.541e-04,5.623e+00,4.354e+00,3.199e+00
28,-3.00E-01,0.000e+00,4.901e-04,3.249e-04,1.508e+00,3.353e+00,3.342e+00
29,-3.00E-01,1.000e-01,5.942e-04,1.541e-04,3.856e+00,3.823e+00,3.199e+00
30,-3.00E-01,2.000e-01,1.056e-03,1.453e-04,7.270e+00,4.089e+00,3.072e+00
31,-3.00E-01,3.000e-01,4.058e-04,1.664e-04,2.439e+00,3.260e+00,3.214e+00
32,-3.00E-01,4.000e-01,2.351e-04,1.869e-04,1.258e+00,2.978e+00,3.371e+00
33,-3.00E-01,5.000e-01,2.436e-04,1.926e-04,1.265e+00,3.231e+00,3.439e+00
34,-2.00E-01,-5.00E-01,6.305e-04,2.237e-04,2.818e+00,3.389e+00,3.478e+00
35,-2.00E-01,-4.00E-01,7.030e-04,2.287e-04,3.074e+00,3.541e+00,3.435e+00
36,-2.00E-01,-3.00E-01,6.538e-04,2.127e-04,3.073e+00,3.694e+00,3.272e+00
37,-2.00E-01,-2.00E-01,8.565e-04,1.842e-04,4.651e+00,3.971e+00,3.057e+00
