iteration,eps,f,Fidelity Grape,Fidelity Ideal
1,-5.0000000e-01,-5.0000000e-01,9.0540355e-01,2.0116751e-01
2,-5.0000000e-01,-4.0000000e-01,9.4044192e-01,1.2696664e-01
3,-5.0000000e-01,-3.0000000e-01,9.8717154e-01,7.0381818e-02
4,-5.0000000e-01,-2.0000000e-01,7.7504904e-01,3.0888209e-02
5,-5.0000000e-01,-1.0000000e-01,9.9983466e-01,7.6566876e-03
6,-5.0000000e-01,0.0000000e+00,9.7425164e-01,0.0000000e+00
7,-5.0000000e-01,1.0000000e-01,8.0648863e-01,7.6566876e-03
8,-5.0000000e-01,2.0000000e-01,9.2073508e-01,3.0888209e-02
9,-5.0000000e-01,3.0000000e-01,7.3936246e-01,7.0381818e-02
10,-5.0000000e-01,4.0000000e-01,9.8804710e-01,1.2696664e-01
11,-5.0000000e-01,5.0000000e-01,6.2998036e-01,2.0116751e-01
12,-4.0000000e-01,-5.0000000e-01,9.8862529e-01,3.5466677e-01
13,-4.0000000e-01,-4.0000000e-01,9.0907921e-01,3.3135854e-01
14,-4.0000000e-01,-3.0000000e-01,9.9764638e-01,3.1835975e-01
15,-4.0000000e-01,-2.0000000e-01,9.2720942e-01,3.1209692e-01
16,-4.0000000e-01,-1.0000000e-01,9.9649705e-01,3.0962148e-01
17,-4.0000000e-01,0.0000000e+00,9.9780756e-01,3.0901699e-01
18,-4.0000000e-01,1.0000000e-01,9.4130607e-01,3.0962148e-01
19,-4.0000000e-01,2.0000000e-01,9.8669823e-01,3.1209692e-01
20,-4.0000000e-01,3.0000000e-01,9.0256835e-01,3.1835975e-01
21,-4.0000000e-01,4.0000000e-01,9.9361007e-01,3.3135854e-01
22,-4.0000000e-01,5.0000000e-01,4.8431525e-01,3.5466677e-01
23,-3.0000000e-01,-5.0000000e-01,9.9987779e-01,5.0815044e-01
24,-3.0000000e-01,-4.0000000e-01,9.5730552e-01,5.2871725e-01
25,-3.0000000e-01,-3.0000000e-01,9.8780210e-01,5.5106714e-01
26,-3.0000000e-01,-2.0000000e-01,9.8548176e-01,5.7038264e-01
