iteration,eps,f,t2_grape,t2_ideal,t2_ratio,alpha_grape,alpha_ideal
1,-5.000e-01,-5.000e-01,1.731e-04,2.009e-04,8.616e-01,3.076e+00,3.739e+00
2,-5.000e-01,-4.000e-01,3.339e-04,1.052e-04,3.173e+00,3.832e+00,3.119e+00
3,-5.000e-01,-3.000e-01,3.342e-04,1.366e-04,2.446e+00,3.290e+00,3.238e+00
4,-5.000e-01,-2.000e-01,1.640e-04,1.149e-04,1.427e+00,2.686e+00,3.119e+00
5,-5.000e-01,-1.000e-01,3.281e-04,1.503e-04,2.182e+00,2.870e+00,3.361e+00
6,-5.000e-01,0.000e+00,2.957e-04,1.172e-03,2.523e-01,3.231e+00,3.088e+00
7,-5.000e-01,1.000e-01,2.876e-04,1.503e-04,1.913e+00,3.526e+00,3.361e+00
8,-5.000e-01,2.000e-01,3.844e-04,1.149e-04,3.346e+00,3.745e+00,3.119e+00
9,-5.000e-01,3.000e-01,1.918e-04,1.366e-04,1.404e+00,3.161e+00,3.238e+00
10,-5.000e-01,4.000e-01,2.035e-04,1.052e-04,1.933e+00,3.710e+00,3.119e+00
11,-5.000e-01,5.000e-01,1.081e-04,2.009e-04,5.378e-01,3.173e+00,3.739e+00
12,-4.000e-01,-5.000e-01,2.190e-04,2.290e-04,9.562e-01,3.022e+00,3.784e+00
13,-4.000e-01,-4.000e-01,2.828e-04,1.063e-04,2.662e+00,3.588e+00,2.978e+00
14,-4.000e-01,-3.000e-01,4.027e-04,1.613e-04,2.497e+00,3.354e+00,3.264e+00
15,-4.000e-01,-2.000e-01,2.385e-04,1.264e-04,1.887e+00,2.545e+00,3.052e+00
16,-4.000e-01,-1.000e-01,4.734e-04,1.721e-04,2.750e+00,3.209e+00,3.348e+00
17,-4.000e-01,0.000e+00,3.485e-04,7.733e-04,4.506e-01,3.230e+00,3.206e+00
18,-4.000e-01,1.000e-01,4.298e-04,1.721e-04,2.497e+00,3.609e+00,3.348e+00
19,-4.000e-01,2.000e-01,6.237e-04,1.264e-04,4.933e+00,3.766e+00,3.052e+00
20,-4.000e-01,3.000e-01,2.772e-04,1.613e-04,1.719e+00,3.134e+00,3.264e+00
21,-4.000e-01,4.000e-01,2.969e-04,1.063e-04,2.794e+00,3.799e+00,2.978e+00
22,-4.000e-01,5.000e-01,1.606e-04,2.290e-04,7.012e-01,3.106e+00,3.784e+00
23,-3.000e-01,-5.000e-01,4.960e-04,2.258e-04,2.196e+00,3.289e+00,3.579e+00
24,-3.000e-01,-4.000e-01,3.410e-04,9.862e-05,3.457e+00,3.496e+00,2.701e+00
25,-3.000e-01,-3.000e-01,3.904e-04,2.029e-04,1.923e+00,2.967e+00,3.319e+00
26,-3.000e-01,-2.000e-01,4.549e-04,1.409e-04,3.229e+00,2.858e+00,2.939e+00
27,-3.000e-01,-1.000e-01,6.859e-04,2.022e-04,3.393e+00,3.296e+00,3.319e+00
28,-3.000e-01,0.000e+00,4.858e-04,7.444e-04,6.526e-01,3.230e+00,3.238e+00
29,-3.000e-01,1.000e-01,7.094e-04,2.022e-04,3.509e+00,3.672e+00,3.319e+00
30,-3.000e-01,2.000e-01,1.640e-03,1.409e-04,1.164e+01,3.780e+00,2.939e+00
31,-3.000e-01,3.000e-01,4.593e-04,2.029e-04,2.263e+00,3.289e+00,3.319e+00
32,-3.000e-01,4.000e-01,5.484e-04,9.862e-05,5.561e+00,4.462e+00,2.701e+00
33,-3.000e-01,5.000e-01,2.184e-04,2.258e-04,9.672e-01,2.862e+00,3.579e+00
34,-2.000e-01,-5.000e-01,6.901e-04,2.456e-04,2.810e+00,3.051e+00,3.451e+00
35,-2.000e-01,-4.000e-01,6.900e-04,6.559e-05,1.052e+01,3.510e+00,2.091e+00
36,-2.000e-01,-3.000e-01,6.008e-04,2.199e-04,2.732e+00,3.141e+00,3.194e+00
37,-2.000e-01,-2.000e-01,9.640e-04,1.554e-04,6.203e+00,3.086e+00,2.677e+00
38,-2.000e-01,-1.000e-01,2.178e-03,2.499e-04,8.715e+00,3.144e+00,3.235e+00
39,-2.000e-01,0.000e+00,9.190e-04,9.859e-04,9.321e-01,3.230e+00,3.245e+00
40,-2.000e-01,1.000e-01,1.364e-03,2.499e-04,5.460e+00,3.006e+00,3.235e+00
41,-2.000e-01,2.000e-01,1.420e-03,1.554e-04,9.136e+00,3.278e+00,2.677e+00
42,-2.000e-01,3.000e-01,5.472e-04,2.199e-04,2.488e+00,3.096e+00,3.194e+00
43,-2.000e-01,4.000e-01,5.989e-04,6.559e-05,9.131e+00,4.481e+00,2.091e+00
44,-2.000e-01,5.000e-01,3.033e-04,2.456e-04,1.235e+00,3.067e+00,3.451e+00
45,-1.000e-01,-5.000e-01,3.992e-04,2.147e-04,1.859e+00,3.029e+00,3.046e+00
46,-1.000e-01,-4.000e-01,7.078e-04,7.862e-05,9.003e+00,3.296e+00,1.951e+00
47,-1.000e-01,-3.000e-01,1.511e-03,2.592e-04,5.831e+00,3.237e+00,3.071e+00
48,-1.000e-01,-2.000e-01,1.144e-03,2.625e-04,4.358e+00,3.493e+00,2.712e+00
49,-1.000e-01,-1.000e-01,1.476e-03,3.990e-04,3.699e+00,3.002e+00,3.236e+00
50,-1.000e-01,0.000e+00,5.726e-03,2.014e-03,2.843e+00,3.536e+00,3.244e+00
